,COVID Status,Gender,Race,Hispanic or Latino/A,Age,Trust in science (1-5 scale with 5 indicating most trust),Level of religious commitment (1-10 scale with 10 indicating highest trust),Political orientation (1-10 scale with 10 indicating most conservative and 1 indicating most liberal),How serious would it be for you if you contract COVID-19 in the next year? (1-10 scale with 10 being most serious),How confident are you that you can prevent getting COVID-19 in case of an outbreak? (1-5 scale with 5 being very confident),Please indicate your level of agreement with this statement: ‘My family and friends avoid crowded areas.’ (1-7 scale with 7 being strongly agree),I intend to get vaccinated for COVID-19 when the vaccine becomes available to me. (1-7 scale with 7 being Likely and 1 being Unlikely)
863,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,38,1,7,1,4,5,6,2
864,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,3,5,1,6,3,6,5
865,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,18,5,7,3,8,5,3,6
866,Hasn't had COVID,Female,White,Hispanic or Latino/A,38,4,4,2,7,5,1,6
867,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,4,2,2,6,5,6,6
868,Hasn't had COVID,Female,White,Hispanic or Latino/A,22,5,3,4,10,1,7,7
869,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,35,4,3,2,10,2,4,7
870,Hasn't had COVID,Female,Other,Hispanic or Latino/A,44,1,4,3,6,5,4,2
871,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,56,3,1,2,5,1,4,5
872,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,41,5,5,1,7,4,7,7
873,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,47,5,6,2,10,2,7,7
874,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,51,5,2,5,9,2,7,7
875,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,5,4,3,8,4,2,7
876,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,32,5,2,1,6,5,7,7
877,Had COVID,Male,White,Not Hispanic or Latino/A,54,3,5,4,8,3,7,5
878,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,3,3,4,5,3,7,5
879,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,56,5,6,3,10,5,7,7
880,Hasn't had COVID,Female,White,Hispanic or Latino/A,9,3,5,4,10,3,6,6
881,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,25,1,5,1,9,2,2,2
882,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,24,1,2,3,7,5,4,3
883,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,32,5,2,3,10,4,7,7
884,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,26,3,3,5,8,1,4,4
885,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,41,5,4,3,10,4,7,7
886,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,5,3,2,8,1,7,7
887,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,41,4,3,1,4,3,6,5
888,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,40,3,4,3,6,4,5,5
889,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,5,2,4,10,1,3,7
890,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,37,4,2,3,10,2,6,6
891,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,5,5,2,9,1,7,7
892,Hasn't had COVID,Non-Binary or Transgender,Black or African American,Not Hispanic or Latino/A,40,3,4,2,5,5,7,4
893,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,69,2,1,3,5,2,6,4
894,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,57,4,2,6,9,3,7,6
895,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,48,5,3,3,6,4,6,7
896,Had COVID,Male,White,Not Hispanic or Latino/A,64,2,5,1,8,3,1,4
897,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,71,5,2,2,6,4,4,7
898,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,68,3,4,4,8,2,5,5
899,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,4,2,3,10,2,4,6
900,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,16,5,4,4,10,2,1,7
901,Had COVID,Male,White,Not Hispanic or Latino/A,33,4,6,9,7,5,7,6
902,Had COVID,Female,Asian,Not Hispanic or Latino/A,48,3,3,4,6,2,5,5
903,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,4,2,7,3,6,7
904,Had COVID,Male,White,Not Hispanic or Latino/A,42,1,6,2,10,3,4,4
905,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,55,4,5,2,5,4,4,5
906,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,30,1,9,5,10,4,7,3
907,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,50,5,1,3,9,4,3,7
908,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,34,4,2,4,3,4,5,4
909,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,42,5,5,2,10,1,6,7
910,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,51,5,5,1,8,2,7,7
911,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,12,5,2,6,9,4,5,7
912,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,2,7,2,6,2,7,4
913,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,3,2,6,3,2,5,4
914,Had COVID,Male,White,Not Hispanic or Latino/A,24,5,1,4,8,3,7,7
915,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,3,4,4,7,4,4,5
916,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,17,2,5,3,6,3,4,4
917,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,5,3,1,6,4,7,7
918,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,35,4,1,1,8,3,6,6
919,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,44,5,5,3,8,2,3,6
920,Hasn't had COVID,Male,White,Hispanic or Latino/A,60,3,6,5,6,5,1,4
921,Hasn't had COVID,Female,White,Hispanic or Latino/A,48,3,5,5,8,5,4,5
922,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,2,3,3,10,2,2,4
923,Had COVID,Male,White,Hispanic or Latino/A,59,5,1,4,10,3,6,7
924,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,4,5,1,7,3,5,6
925,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,17,1,1,1,9,3,5,3
926,Hasn't had COVID,Female,White,Hispanic or Latino/A,53,5,9,2,6,3,7,7
927,Hasn't had COVID,Male,White,Hispanic or Latino/A,22,3,5,2,3,2,7,5
928,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,1,8,5,4,3,4,2
929,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,33,5,2,2,7,3,5,7
930,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,32,4,5,1,10,2,6,7
931,Had COVID,Female,White,Hispanic or Latino/A,52,5,1,3,6,2,7,7
932,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,47,2,8,5,7,3,5,4
933,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,42,2,4,7,6,2,7,2
934,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,4,3,2,9,2,3,6
935,Hasn't had COVID,Female,White,Hispanic or Latino/A,64,5,4,4,8,5,6,7
936,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,20,2,1,3,7,1,7,3
937,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,3,5,5,10,3,6,5
938,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,32,5,5,5,3,4,7,6
939,Had COVID,Female,White,Not Hispanic or Latino/A,34,3,2,4,6,3,7,5
940,Had COVID,Female,Asian,Not Hispanic or Latino/A,53,2,4,1,6,3,7,5
941,Had COVID,Male,White,Not Hispanic or Latino/A,24,5,5,1,8,5,7,7
942,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,21,3,2,3,4,4,6,3
943,Hasn't had COVID,Male,White,Hispanic or Latino/A,46,5,5,2,9,1,5,7
944,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,27,5,4,2,4,4,7,7
945,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,10,5,2,1,8,5,7,7
946,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,53,3,2,6,8,2,2,5
947,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,29,5,2,3,10,4,2,7
948,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,48,5,1,3,6,5,3,6
949,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,16,5,7,6,8,4,3,6
950,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,46,5,6,3,7,3,7,6
951,Hasn't had COVID,Female,White,Hispanic or Latino/A,15,5,5,1,6,5,7,7
952,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,26,3,5,5,9,3,6,5
953,Hasn't had COVID,Male,White,Hispanic or Latino/A,41,4,6,2,10,3,5,7
954,Hasn't had COVID,Male,White,Hispanic or Latino/A,46,4,6,1,10,5,5,7
955,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,43,5,2,2,6,3,3,7
956,Had COVID,Male,White,Not Hispanic or Latino/A,16,4,3,6,8,5,7,6
957,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,43,4,2,7,9,1,1,6
958,Hasn't had COVID,Female,White,Hispanic or Latino/A,19,3,8,4,3,3,6,4
959,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,47,5,6,4,9,2,5,7
960,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,30,4,5,3,7,2,7,7
961,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,52,5,4,1,9,2,7,7
962,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,5,5,1,5,1,7,7
963,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,49,5,6,6,3,4,4,6
964,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,45,4,7,1,7,3,6,6
965,Had COVID,Male,White,Not Hispanic or Latino/A,57,5,5,1,5,5,4,7
966,Hasn't had COVID,Male,White,Hispanic or Latino/A,82,5,2,3,7,4,2,7
967,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,42,1,4,5,8,3,4,2
968,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,29,5,2,3,10,4,5,7
969,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,42,3,6,1,9,3,7,6
970,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,4,4,5,10,1,6,6
971,Hasn't had COVID,Female,White,Hispanic or Latino/A,30,2,2,4,10,5,1,4
972,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,63,5,5,5,10,1,6,6
973,Hasn't had COVID,Male,White,Hispanic or Latino/A,26,2,4,2,7,3,4,4
974,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,43,3,4,4,6,1,7,4
975,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,27,1,2,1,7,5,5,2
976,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,67,2,1,5,5,3,7,3
977,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,5,3,3,10,5,6,7
978,Had COVID,Female,White,Not Hispanic or Latino/A,31,5,3,6,8,3,4,7
979,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,30,2,4,1,6,2,7,4
980,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,4,7,3,10,3,7,7
981,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,12,5,5,1,9,5,5,7
982,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,49,5,8,3,7,2,7,7
983,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,39,2,4,3,5,5,4,3
984,Hasn't had COVID,Male,White,Hispanic or Latino/A,19,4,1,1,8,1,6,7
985,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,27,5,3,3,7,2,7,7
986,Had COVID,Female,White,Hispanic or Latino/A,42,5,3,4,3,5,7,7
987,Hasn't had COVID,Male,Other,Hispanic or Latino/A,45,3,7,4,10,4,7,5
988,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,34,5,2,3,10,2,4,6
989,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,2,2,4,10,1,7,5
990,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,44,4,4,1,10,5,6,7
991,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,42,5,4,2,10,4,5,7
992,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,49,1,1,4,5,4,2,1
993,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,24,2,4,2,9,4,3,4
994,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,3,3,3,3,4,1,4
995,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,18,4,4,3,9,5,5,5
996,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,41,2,5,5,4,1,7,4
997,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,5,5,1,10,3,4,7
998,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,50,5,3,3,10,3,7,7
999,Had COVID,Male,White,Not Hispanic or Latino/A,46,2,7,2,10,1,2,5
1000,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,42,1,1,4,3,5,6,2
1001,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,32,4,5,2,7,4,5,6
1002,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,42,5,1,2,8,2,4,6
1003,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,39,5,3,2,5,3,7,7
1004,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,49,4,5,5,8,5,7,6
1005,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,47,1,4,3,4,2,3,2
1006,Hasn't had COVID,Male,Other,Hispanic or Latino/A,14,1,3,2,6,1,4,3
1007,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,42,1,6,4,6,3,7,3
1008,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,47,5,3,4,6,2,6,7
1009,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,16,4,7,1,10,2,5,7
1010,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,18,5,4,2,7,3,7,7
1011,Had COVID,Female,White,Not Hispanic or Latino/A,26,4,8,3,7,3,5,6
1012,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,29,3,3,4,6,5,7,5
1013,Had COVID,Male,White,Hispanic or Latino/A,15,5,3,2,6,1,3,7
1014,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,44,1,5,5,6,3,1,1
1015,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,44,3,4,6,4,1,1,3
1016,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,31,2,10,2,10,2,5,5
1017,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,5,5,3,8,5,5,7
1018,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,53,3,3,4,8,5,3,5
1019,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,41,4,6,5,8,5,5,6
1020,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,45,4,5,2,9,3,7,7
1021,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,14,4,5,2,3,2,4,4
1022,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,5,2,2,4,4,7,7
1023,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,27,1,9,1,9,3,4,3
1024,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,24,5,3,5,10,4,4,7
1025,Had COVID,Male,White,Hispanic or Latino/A,58,3,5,3,6,5,5,5
1026,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,38,5,4,5,10,5,5,7
1027,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,40,4,5,2,5,3,6,5
1028,Hasn't had COVID,Female,White,Hispanic or Latino/A,48,4,3,7,10,1,7,7
1029,Had COVID,Female,Asian,Not Hispanic or Latino/A,30,3,3,2,5,1,4,5
1030,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,28,3,5,2,4,4,3,5
1031,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,28,5,1,4,4,4,1,6
1032,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,16,5,6,5,5,2,3,5
1033,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,61,5,2,4,5,5,7,7
1034,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,41,5,4,1,5,3,4,7
1035,Had COVID,Male,White,Not Hispanic or Latino/A,49,4,3,1,8,5,1,6
1036,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,46,4,4,4,10,1,2,6
1037,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,29,3,3,1,5,5,4,3
1038,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,5,6,7,5,5,5,6
1039,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,37,5,10,3,9,5,5,7
1040,Had COVID,Female,White,Hispanic or Latino/A,27,3,1,5,7,3,7,5
1041,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,5,6,3,5,1,7,7
1042,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,28,1,2,1,7,4,6,2
1043,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,2,7,6,7,4,4,3
1044,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,56,4,3,4,7,3,6,6
1045,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,3,4,4,5,2,6,5
1046,Had COVID,Female,White,Not Hispanic or Latino/A,62,3,3,2,6,1,7,5
1047,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,71,5,5,1,4,5,3,6
1048,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,52,2,2,1,5,4,5,4
1049,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,4,7,8,7,5,7,5
1050,Had COVID,Male,White,Not Hispanic or Latino/A,35,5,7,4,4,2,5,7
1051,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,5,3,5,4,1,7,6
1052,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,38,5,4,2,10,3,6,7
1053,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,3,2,5,8,5,7,5
1054,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,34,1,5,3,6,1,3,3
1055,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,31,5,4,1,8,4,4,7
1056,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,44,5,4,3,6,2,7,6
1057,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,5,4,1,6,1,5,7
1058,Hasn't had COVID,Female,White,Hispanic or Latino/A,11,5,9,4,7,5,5,7
1059,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,29,5,8,3,8,1,6,7
1060,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,29,4,9,4,2,2,5,4
1061,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,44,3,6,3,7,5,5,5
1062,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,21,5,3,3,6,1,5,7
1063,Hasn't had COVID,Female,White,Hispanic or Latino/A,63,5,2,1,10,1,6,7
1064,Had COVID,Female,White,Not Hispanic or Latino/A,71,4,3,3,5,4,4,6
1065,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,24,3,4,5,8,5,6,5
1066,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,30,3,7,1,10,3,3,6
1067,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,37,5,4,5,5,3,7,6
1068,Hasn't had COVID,Male,White,Hispanic or Latino/A,4,5,2,5,4,4,4,6
1069,Hasn't had COVID,Non-Binary or Transgender,Black or African American,Not Hispanic or Latino/A,31,3,5,2,6,4,7,4
1070,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,28,3,5,2,6,4,7,5
1071,Had COVID,Male,Asian,Not Hispanic or Latino/A,28,4,2,1,10,2,7,7
1072,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,57,5,2,5,7,2,5,7
1073,Had COVID,Male,White,Not Hispanic or Latino/A,57,4,5,2,6,5,6,6
1074,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,39,5,3,2,7,1,5,7
1075,Hasn't had COVID,Female,White,Hispanic or Latino/A,45,5,2,4,7,3,6,7
1076,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,26,2,6,3,9,3,5,5
1077,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,48,5,7,3,5,3,6,6
1078,Had COVID,Female,Asian,Not Hispanic or Latino/A,11,5,4,4,10,3,4,7
1079,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,40,4,3,2,7,4,3,6
1080,Hasn't had COVID,Female,White,Hispanic or Latino/A,25,2,4,2,7,1,2,4
1081,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,33,2,4,3,8,2,7,4
1082,Hasn't had COVID,Male,White,Hispanic or Latino/A,47,5,7,2,8,1,7,7
1083,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,42,1,5,5,10,2,6,3
1084,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,34,1,1,2,10,1,7,4
1085,Had COVID,Female,White,Not Hispanic or Latino/A,25,4,3,2,5,3,4,6
1086,Had COVID,Male,White,Hispanic or Latino/A,30,5,2,4,9,5,5,7
1087,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,22,1,2,4,5,2,4,3
1088,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,5,5,7,6,2,4,6
1089,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,18,5,2,2,8,2,7,7
1090,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,30,5,5,4,10,5,7,7
1091,Had COVID,Female,White,Hispanic or Latino/A,26,4,1,3,2,5,5,5
1092,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,31,4,2,6,6,3,4,4
1093,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,48,5,3,1,9,2,6,7
1094,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,50,2,3,1,10,3,6,5
1095,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,19,5,4,4,5,1,6,6
1096,Had COVID,Female,White,Not Hispanic or Latino/A,24,5,3,5,7,1,7,7
1097,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,67,2,4,2,5,5,5,4
1098,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,17,1,3,2,7,3,7,3
1099,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,40,1,3,6,6,3,7,3
1100,Had COVID,Male,White,Not Hispanic or Latino/A,58,1,7,3,8,2,4,3
1101,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,5,4,6,9,5,6,7
1102,Hasn't had COVID,Female,White,Hispanic or Latino/A,20,4,7,2,3,3,7,6
1103,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,53,4,2,3,10,4,7,7
1104,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,65,3,5,1,5,3,6,5
1105,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,47,5,1,2,9,5,7,7
1106,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,55,5,2,4,5,3,4,5
1107,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,47,4,6,2,2,3,2,5
1108,Had COVID,Male,Asian,Not Hispanic or Latino/A,31,2,1,7,4,5,4,3
1109,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,64,5,1,1,7,2,4,7
1110,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,32,4,9,5,8,3,5,5
1111,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,8,2,3,3,4,5,6,2
1112,Hasn't had COVID,Female,White,Hispanic or Latino/A,41,4,2,3,8,3,4,6
1113,Hasn't had COVID,Female,White,Hispanic or Latino/A,50,2,6,6,10,4,5,4
1114,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,1,5,5,5,1,3,2
1115,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,44,3,3,5,10,5,4,4
1116,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,31,4,4,3,8,3,7,6
1117,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,62,4,2,2,9,5,7,5
1118,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,27,4,8,5,9,1,7,5
1119,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,67,3,4,2,10,3,2,6
1120,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,24,5,4,4,9,2,7,7
1121,Hasn't had COVID,Female,White,Hispanic or Latino/A,34,5,1,4,9,3,6,7
1122,Had COVID,Female,White,Not Hispanic or Latino/A,22,1,4,3,6,3,4,3
1123,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,55,4,1,4,5,5,6,5
1124,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,27,4,6,3,5,4,2,5
1125,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,54,3,3,4,3,3,7,4
1126,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,5,3,3,10,2,7,7
1127,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,5,5,4,9,1,5,7
1128,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,29,4,4,4,6,3,7,6
1129,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,33,2,4,4,5,5,7,3
1130,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,44,4,1,2,6,5,7,6
1131,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,45,3,4,1,8,5,4,5
1132,Hasn't had COVID,Male,White,Hispanic or Latino/A,21,3,1,6,6,5,7,4
1133,Hasn't had COVID,Male,White,Hispanic or Latino/A,42,3,2,4,5,4,4,4
1134,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,37,5,2,6,8,5,6,7
1135,Hasn't had COVID,Female,White,Hispanic or Latino/A,19,1,1,3,8,3,7,3
1136,Hasn't had COVID,Female,White,Hispanic or Latino/A,48,5,2,3,7,5,7,7
1137,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,23,5,2,4,5,4,4,6
1138,Had COVID,Male,Other,Hispanic or Latino/A,31,1,2,1,8,2,4,3
1139,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,31,3,5,5,6,3,6,5
1140,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,23,5,2,3,5,4,7,6
1141,Had COVID,Male,White,Not Hispanic or Latino/A,34,5,3,2,7,1,4,7
1142,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,33,5,3,4,10,3,6,7
1143,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,3,3,7,1,6,7
1144,Had COVID,Female,Black or African American,Hispanic or Latino/A,25,2,5,2,10,5,4,4
1145,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,32,4,7,1,7,3,3,6
1146,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,59,5,1,5,5,5,5,6
1147,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,38,4,5,1,7,3,1,6
1148,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,26,2,4,3,7,4,4,4
1149,Hasn't had COVID,Female,Other,Hispanic or Latino/A,16,2,6,4,6,4,5,3
